timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.0560089,0.0163014
0,0.0423463,0.0171683
0,0.0440424,0.0172334
0,0.0507993,0.0164548
0,0.0585355,0.0171999
0,0.0786371,0.015675
0,0.0729619,0.0184021
0,0.0456209,0.0163343
0,0.0525578,0.0170371
0,0.0615824,0.0163868
0,0.0317178,0.0162966
0,0.0457082,0.0162977
0,0.0568876,0.0165264
0,0.0277267,0.0151983
0,0.0523083,0.01741
0,0.03855,0.0159537
0,0.0705852,0.0168603
0,0.0461041,0.0159685
0,0.0637536,0.0170773
0,0.0495627,0.0160443
0,0.0357803,0.0171534
0,0.0532378,0.0232303
0,0.0390131,0.018304
0,0.044375,0.0169112
0,0.0372167,0.0173004
0,0.0421216,0.0169048
0,0.0607859,0.0143545
0,0.0695463,0.0155748
0,0.0658645,0.0175983
0,0.0328417,0.0155587
0,0.0504176,0.0165079
0,0.0715296,0.0222432
0,0.0214015,0.0205209
0,0.0602317,0.0181835
0,0.0447293,0.0150957
0,0.0614396,0.0169862
0,0.0589198,0.0176044
0,0.0381375,0.0161942
0,0.0815053,0.0172069
0,0.0450513,0.0154164
0,0.0589211,0.0144052
0,0.0398801,0.0159946
0,0.0420893,0.0148047
0,0.0391717,0.0146512
0,0.0491633,0.0156538
0,0.0601699,0.0168828
0,0.0634305,0.0169525
0,0.0189811,0.0161647
0,0.0417457,0.0166977
0,0.0629111,0.0153546
0,0.0415672,0.0142622
0,0.051118,0.0142745
0,0.0520138,0.0160697
0,0.0579725,0.0156108
0,0.0285238,0.014414
0,0.0275863,0.0147796
0,0.0443315,0.0162917
0,0.0478543,0.0141451
0,0.0495986,0.0148318
0,0.0502384,0.0153795
0,0.0342142,0.0156248
0,0.0736652,0.0150483
0,0.0534885,0.0165388
0,0.0600361,0.0168325
0,0.0542251,0.0142283
0,0.04499,0.0152173
0,0.0574346,0.0163438
0,0.0412084,0.0157488
0,0.0251115,0.0151961
